qrCode,batteryId,vendorId,action,status,message
DC-RP210605A00213-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,mkiFWU4ggH42rq2daZs4,00150613000008CF,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210626A00235-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,KlAqVGDmJqdTXFpGvEB3,0015061200000DB9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210122A00404-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,69cKRrYpiXmC1awD0ZXv,00140C0800000193,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210329A00487-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,x8h0EX6nwh2kUXyXKGDg,0015020400001826,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01163-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,vaX61HwbBelAMThPngkK,0015041C00001C5D,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210628A00382-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,hKGdueykXHa9TFb6fNiO,0015061300001191,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210507A00464-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,cyLrjpsaxU01OHu37WdU,0015041C0000199E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210202A00011-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,sch121OfbYm6KNP7MYAb,00150108000000CB,Tags hinzufügen,Success,Tag hinzugefügt
DC-TS211112A00723-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,BvW53yBSSGoevTDtvY2T,0015091A00000029,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210227A00662-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,I9GgaY5lGNfPgjNNl4Hb,0015010F000007AC,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210511A00718-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,FK8rvdGdMggyTInisOq1,0015041C00000BF9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A00334-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,b21KJfUVrI0rw8gjnReA,0015041C00001752,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210507A00044-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,4UUyQEucycpIXpXq0dXC,0015041E0000060A,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG200812A04978-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P05000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210629A00101-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,LVpNCj6H7lqcfF7evo8E,0015061300000E09,Tags hinzufügen,Success,Tag hinzugefügt
