qrCode,vehicleId,identificationCode,sku,action,status,message
https://tier.app/AE211537,7T62o1PM5yWodGv7FcKu,211537,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE207154,yQaN1PvyzKIJubXXFsxb,207154,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE128226,BWP7OssBwhxImgcAMxTi,128226,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE131833,XR1KT4NQXq69ISU5AYrd,131833,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE201508,e4KY9urlAE4Uw8kKlRJK,201508,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE184445,H6elbBMzcPodH5aDhGjD,184445,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE153257,4opCsKWgD4FJ4EWOFl04,153257,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE132828,wE3oNw2vQ1rrCo6RKhRs,132828,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE193018,1n6EV5byvskjEhAqmv1W,193018,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE130296,ot2qBFIhPYFr3390ovX6,130296,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE202308,2B0mLHOQrEejp6XUZe9B,202308,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE133258,6RUIwCZZmSACq8MpaJ6X,133258,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE202099,cYqFd7RBejDG8GQvljFH,202099,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE153141,JUIB1QLKv3lMFSFTr47n,153141,SO04T10,Eingehende Assets,Success,Im Lager
https://tier.app/AE204405,GGdSwcOjNNtqGKIGpqa4,204405,SO04T10,Eingehende Assets,Success,Im Lager
https://v.ridedott.com/153420,2kdBDoZ7JFsCObDVRng5,153420,SO04T10,Eingehende Assets,Success,Im Lager
