qrCode,batteryId,vendorId,action,status,message
DC-RP210512A01121-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VrJj8Eh5VyLLgVbQ8pta,0015041C00000354,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210530A00700-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,QWmmQIboTb9Cnm2ecjL8,00150511000003A4,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A00839-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,6pd7eMtteeZhf1R8I6lk,0015041C000019AA,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210227A00029-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VxGSNl8ReN4cSx5QEkrW,0015010800000C23,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A01044-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Y9tD7xz0awop8b6XlMg8,0015041E00000640,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A00561-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,SwVwveeVTm2JWyrHFDvl,0015041C00000AFF,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A00786-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,lhtRI8KuJ9PYi6p6hCSK,0015041C00000227,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01649-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,1lthWwz4LWtLQWtzNPEs,0015041E0000088A,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210305A00828-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,L1NPjJ9DdPY8WI79Y286,00150113000000AD,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00684-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,kQvj162K9ILhic5ye4dM,0015030100000095,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01007-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,0Osp58wIO0s0NXyQze2z,0015030100000169,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210130A00182-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,i1OMKNE3td6lKfXjWBlg,00140C0300001092,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A01006-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,F0ht16nxS617wrgnkupX,0015041C00000112,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00996-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,XJa7XA0XTlfyandvW4iH,0015041E00001073,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210607A06924-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,vPTIWo33ABONRhGrtnI1,00150607000006C0,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01579-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VdoEeSpGoUKnplxhIjVU,0015041C000013A9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210310A00929-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Yt8qRpEpb2gA6lMVrYge,001503060000091B,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210306A00086-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Ukl68dvFKcACX7YSAxRI,001503060000084A,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210311A00527-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Z1sdKP8wGT7otWHIyygI,0015010F0000065C,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210604A00775-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,z4kP4b3OtDRAqBQbM0vP,0015060500000527,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210604A00732-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,1RWOtEEGfQuADUagcglI,0015060500000369,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00864-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Ox4ood96oi1YkZhvZaTl,0015030100000A87,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A00870-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,ukgIz6lHCq16lODxyrFY,0015041C00000390,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00815-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,tPiERTCmC4V1RLnYCk5x,0015041C00000215,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01584-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,DIY33R99NvHKRQ1oasTG,0015041C00001A88,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210311A00522-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,aqywN17zxXuRVte2opm2,0015010F00000728,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210305A00563-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,EahvY88k9FplqjzLCjwB,0015010F00000516,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00676-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,WWmgf12XT5NhBPd2Z08p,0015041E00000C67,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210331A00048-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VSIQgBkTVTODbQTh3pS3,00150204000010C2,Tags hinzufügen,Success,Tag hinzugefügt
