qrCode,batteryId,vendorId,action,status,message
DC-RP210306A00051-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,1TGySslm5e1WfudbFiDK,0015011300000334,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210402A00140-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Zfmpoi4Ggk8bt6jHFOO7,0015011D000004A2,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210202A00011-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,sch121OfbYm6KNP7MYAb,00150108000000CB,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210605A00015-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,IN2qy0ij8RbDZvsz9vRY,00150613000007AE,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210126A00339-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,voHpXLmLjO5FaHt7iFSf,0015010800000A3D,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP200710A01425-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210120A00216-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,7ymycDJ7FXsVVWeFTYNu,00140C0300000842,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210311A00272-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,fbo6ZhpxheLebvqmDUgo,0015030600000253,Tags hinzufügen,Success,Tag hinzugefügt
DC-TS211112A00666-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,t6iNMH5mI0GG9U8XTHsT,0015091E00000657,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210603A00138-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,iZLyXmqTBmaoN1LBUVL9,0015061300001283,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210122A00480-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,jwjDpYzIc5xveOuYVyM9,00140C080000044C,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210128A00640-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,19V2KTeD6R5SrehmiKO8,00140C080000004E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210305A00779-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Eq3g611dGf1MlANRcYvf,0015020400001267,Tags hinzufügen,Success,Tag hinzugefügt
DC-TS211107A00505-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,41VXQoU8J8Ee3wDffDri,0015091A00000959,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210406A00060-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,CH2iPW5ikE7FQcJPrb8Y,001502170000023F,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210407A00110-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,EUBZqIFuzIFLw0FUgsTz,001503010000082D,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210225A00167-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,0dfYZKuDjVaGvxuGXb85,001501080000030A,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210607A06704-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,GPpcRpf4882EzgpiO5YT,0015061100000271,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210629A00159-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,5VnDy0sqInrey8EBibHe,001506130000120E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210630A00706-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,aNEax0vY8XgCiD7cwKF2,00150615000009CF,Tags hinzufügen,Success,Tag hinzugefügt
