qrCode,batteryId,vendorId,action,status,message
DC-RP210510A00060-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,HTYG5VPaTBLCq1dFv4g4,0015041C000013B1,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210122A00512-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,rjtzm0OsBd5xV57Oivlc,0015010F000002A0,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210330A00155-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,bhBrYnmSw0PEQARq2jOR,0015020400000464,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210423A00324-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,bnN47YuHLEk5PhkLOAXL,0015030100000E15,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210329A00596-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,4aRmYOTyIgX19exJe4Vh,001502040000182D,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210607A05025-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,Je8gIWkNTHbcnEBVSsq2,0015060500000BD0,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210625A00008-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,gg0LMwdxXQiBF1T5xlKX,00150613000001C6,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210305A00812-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,85Rw5I9lby5gKKR1EnOR,001501130000034D,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210120A00696-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VHDNeED9vi5KYjgc2N6M,00140C0300000776,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00823-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Ls6lbipPYiKw5UWypuve,0015041C00000423,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00809-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,BlsIOB8hPKECPjauIeqb,0015041C000003A1,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP211117A00580-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,DXURyAawW1HZvHzXui4M,00150B1800001144,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210201A00124-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,myJxucewGeuNaf21vqbe,0015010F0000080C,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210507A00051-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,v7RldISMbHMwcDQAgZ8O,0015041C00000D9C,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210408A00223-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,lINSKcDx6FYFdIv2zLbc,0015030100001241,Tags hinzufügen,Success,Tag hinzugefügt
DC-TS211107A00145-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,VEDv9FH41EvS6rHMP2fN,0015091C00000412,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210423A00316-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,7ZBQigW3TZds4457XJuj,0015030100000E1E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00790-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,lxqGTKqtkDMJXv35Saqe,0015041E0000097A,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210305A00832-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,omqOGSNZAqY7PQnzqCJM,0015020400000CBB,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A00831-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,kUBnDdoA4EgHkD1c5zQl,0015041C00001838,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01212-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,XkMgDxrftDtJKskKdTPR,0015041C000019D3,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01211-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,EGY3JAiVhRV4Zrtdy813,0015041C000013A3,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00800-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Gcj5mehjsjMStFDKjvkw,0015041E00001378,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210130A00238-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,e2NuDB8BOeVesDbqQk1A,00140C0300000DE9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210407A00465-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,wkwqouQGHu2w4gNmO1Oq,0015030100000F4B,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210408A00662-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,NgjekOdCjX8pnHQq0bC3,0015011600000845,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP200807A00649-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210513A01730-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,J39e1AqrkNo8LYvfd5my,0015041C0000194C,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210627A00057-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VgzPw8NRLuUMRTd8saKR,0015061200000C17,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210623A03802-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,uwa69MGILuzsUvJcEJpq,0015061200000725,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01669-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,bc3OIoE6MfbdnIW3DN7l,0015030100000E96,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210607A04342-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,zIcG3EQUbPcTlcPx1zyb,0015060500000C45,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210607A08462-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,9jq4xlGWHkiZ7LSDjmnC,0015060700000C66,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210623A03092-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,QOlb652ZQSkzwV9AVxVs,001506120000062B,Tags hinzufügen,Success,Tag hinzugefügt
