qrCode,batteryId,vendorId,action,status,message
DC-RP210513A01341-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,2ybMoMPcBhY1VzX2i3AP,0015041E00000743,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01064-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,SnXIoafVbJjMAGQmraP8,0015041C000012B5,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210127A00620-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,jujeieO4rAddgPhM8iny,0015010800000A30,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210130A00667-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,5rXmyFkKi169yVFEIj1l,00140C080000077E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00816-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,XA3ik3fHhaXipzSmc67C,00150409000001B5,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210325A00273-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,AViDsPrm315EEZ4MCeEZ,0015020400000699,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210126A00236-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,XxarGKRUYWsRh7gIhQnA,0015010800000CF7,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01728-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,W300PHPV2CNhgXnnsSmM,0015041C00001812,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210126A00286-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,lp9TjCswZ5EYjAWXWiGQ,00150108000007E7,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210227A00598-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,6lPMQdi0g4rB8OFEbeCh,0015010F000008F1,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210508A00371-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,keDVHuDNJBegDiIQbvhW,0015041C00001CEE,Tags hinzufügen,Success,Tag hinzugefügt
DC-TS211104A00033-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,Agkl6IJjK45ka6KQx6vv,00150C090000052E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210514A00906-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,yUxCwXo2JEp9QURZ5OIZ,0015061400000A54,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210601A01898-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210607A00312-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Kr1m6qzhDzD1C5HykC17,001506130000061B,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210627A00246-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,RDVuSsX2EQPCNDEuYPKH,0015061200001104,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210311A00562-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,2nrRK0tOREkGAKWLAFpX,0015030B00000218,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210506A00702-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Dg9pqpxvvBQKJaG7iuvK,0015041C000011C8,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210627A00074-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,oM7U1q1q0XoCHuycIB2D,0015061200000C2F,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210406A00325-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,pzyzVarw0C8QAbtxcJb3,00150301000012A7,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210406A00028-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,IR2IDlqTQ0INGIhZCth8,001503010000070F,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210128A00077-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,pnO3Ciz9GILaGNhUkis5,0015010800000DA1,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210125A00109-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,M2no68bgPkhUr9WS9Zdx,0015010800000420,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210126A00171-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,lc4fARhaxXY6CmdG3aas,0015010800000553,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210130A00786-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,B6VIUgYe9H0C1J9QIBVx,0015010F00000152,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210512A00492-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,FfKSgwEgEXK4PgiTDm6w,00150409000001A9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210406A00049-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,csKOC4RIaQQrMZBX1JJm,0015030100000613,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210602A00730-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,rX2wpZhEEKatt5GlfOVw,0015061500000B95,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210126A00301-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,H2yaFuPeK1WbB0aHhNrU,0015010800000913,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210625A00191-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,w20CsoqGggg9bBxvoQga,00150612000009AC,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210407A00625-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Ng3fIzyroVpCw4NaVfVB,00150301000010EE,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210607A00440-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,DL3xoRdK6pGcOgbc99sB,0015060500000C43,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210329A00385-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,jrGmsOmG9tBH6zj0BF8O,00150204000016A9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP200729A00372-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210706A00599-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,rdPrGcp58ici3WIKMwou,00150615000013A6,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210119A00298-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,PhzwiZ9zUBBTmkDRwDPY,00140C0300000806,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210626A00606-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,PNllKRonvZNxhcwOr5En,0015061200000E09,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210121A00060-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P05000,7vZfu4XMwrvV0K63bcMT,0015010F0000014E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210514A01648-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,GOcVofPizStG7WiEmo8C,0015061400000970,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210517A01639-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,dCe6iq2Np6nyDhpYTfuV,00150612000002B2,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01352-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,v23g14e0eChQbVbIStLP,0015041C0000169A,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210326A00432-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,rWGCQHHno2XeLi5NhiRC,00150204000002F7,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210329A00343-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,mZKIeOWL3qdhXaatBTL0,001502040000087D,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A01168-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,3ZTK3ePO9DkESmW43ssE,0015041C000011FA,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00810-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,1BwyZOwtpfWyQwG0sBvX,00150409000004C7,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210121A00468-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P05000,LJwNttpGK8g6xS3uKhkh,00140C0300000F10,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210125A00118-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,scQJOaBcUp8IArltNiyB,0015010800000902,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210623A00104-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,DgiSX1JfLTBDkkNVrGyZ,0015060A00000BB4,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210605A00051-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,DuDfQcSrfzG4eEGu9Qqd,00150613000005B0,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210408A00054-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,b7vzPAp4NXxM1XcOCvbm,0015030100000EC6,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210625A00356-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,w2ACcoF91BjD43lZfLdh,0015061300000EE9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210120A00253-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,qgQ5sezmRCDZKtVevv4R,00140C0300000685,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210627A00102-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,58u03iM0ewZMe70ChlLw,0015061200000D0B,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210131A00426-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,gm9AJ4Bq89k16dt7jRIi,0015010F000002D3,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210130A00275-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,fxEkalm1STHcYaQRobtB,001501080000047D,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210607A01151-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210605A00104-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,l6kwLDlHYm8DADrXZ81J,0015061300000EC7,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP200724A00993-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210513A01248-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,JFeW65W2aL98RaPk43C2,0015041C0000133D,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210524A00454-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,tHpy7nLifyqT0ijHh26n,00150612000005A1,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210201A00381-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,j8wLpEpEmDWU1MNLENMa,0015010F00000092,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210506A00393-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,20F5UAwfvzYFyuPyCAVl,0015031B00000F27,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210329A00740-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,x1LboXIVEM6SNVFFD0CT,0015011D000003CD,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210225A00325-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,vZTRitSp5KVF1MVTG4HR,0015010F0000055A,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG200812A03229-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P05000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210512A01125-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,YtS6CwYP59oy5yIUBfBK,0015041E000007A5,Tags hinzufügen,Success,Tag hinzugefügt
DC-TS211112A00236-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,FdTdlxno09WToWOuqaKQ,0015091A000006ED,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210311A00488-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VMNa10jJ1lbT6oPpm6eY,0015010F00000199,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210514A00036-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,HBMjpr3Tmemi4PMVVZrT,0015031B00000AB7,Tags hinzufügen,Success,Tag hinzugefügt
